,Country or territory,Total length of land borders,Unnamed: 2,No. of distinct land borders,No. of distinct land neighbours,neighbor list
176,Suriname,"1,707","1,061",3,3,"Brazil, French Guiana[15] (France), Guyana"
177,Sweden,"2,233","1,388",3,2,"Finland (2), Norway"
178,Switzerland,"1,852","1,151",8,5,"Austria (2), France, Italy (2), Liechtenstein, Germany (2)"
179,Syria,"2,253","1,400",6,5,"Iraq, Israel, Jordan, Lebanon, Turkey (2)"
180,Taiwan[42],0,0,0,0,nan
181,Tajikistan,"3,651","2,269",4,4,"Afghanistan, People's Republic of China, Kyrgyzstan (3), Uzbekistan (2)"
182,Tanzania,"3,861","2,399",8,8,"Burundi, Democratic Congo (Kinshasa), Kenya, Malawi, Mozambique, Rwanda, Uganda, Zambia"
183,Thailand,"4,863","3,022",4,4,"Cambodia, Laos, Malaysia, Myanmar"
184,Togo,"1,647","1,023",3,3,"Benin, Burkina Faso, Ghana"
185,Tonga,0,0,0,0,nan
186,Trinidad and Tobago,0,0,0,0,nan
187,Tunisia,"1,469",913,2,2,"Algeria, Libya"
188,Turkey,"2,648","1,645",9,8,"Armenia, Azerbaijan, Bulgaria, Georgia, Greece, Iran, Iraq, Syria (2)"
189,Turkmenistan,"3,736","2,321",4,4,"Afghanistan, Iran, Kazakhstan, Uzbekistan"
190,Tuvalu,0,0,0,0,nan
191,Uganda,"2,698","1,676",5,5,"Democratic Congo (Kinshasa), Kenya, Rwanda, South Sudan, Tanzania"
192,Ukraine,"4,663","2,897",8,7,"Belarus, Hungary, Moldova, Poland, Romania (2), Russia, Slovakia"
193,United Arab Emirates,867,539,5 (6),2 (3),"Oman (4), Saudi Arabia"
194,United Kingdom,499,310,1,1,Ireland
195,United Kingdom (plus British overseas territories and Crown dependencies),,,,,nan
196,→including:,513,319,7,3,"Cyprus (5), Ireland, Spain"
197,US,"12,034","7,478",5,2,"Canada (4), Mexico"
198,Uruguay,"1,564",972,2,2,"Argentina, Brazil"
199,Uzbekistan,"6,221","3,866",5,5,"Afghanistan, Kazakhstan, Kyrgyzstan (6), Tajikistan (2), Turkmenistan"
200,Vanuatu,0,0,0,0,nan
201,Vatican City,3.2,2,1,1,Italy
202,Venezuela,"4,993","3,103",3,3,"Brazil, Colombia, Guyana"
203,Vietnam,"4,639","2,883",3,3,"Cambodia, People's Republic of China, Laos"
204,Western Sahara[5],"2,046","1,271",3,3,"Algeria, Mauritania, Morocco"
205,Yemen,"1,746","1,085",2,2,"Oman, Saudi Arabia"
206,Zambia,"5,667","3,521",8,8,"Angola, Botswana, Democratic Congo (Kinshasa), Malawi, Mozambique, Namibia, Tanzania, Zimbabwe"
207,Zimbabwe,"3,066","1,905",4,4,"Botswana, Mozambique, South Africa, Zambia"
